120,99.0
140,73.5
128,121.8
13,123.0
143,107.0
7,105.25
139,120.5
5,118.25
98,40.5
196,97.0
82,39.5
231,131.0
237,102.714285714
203,38.0
147,100.142857143
181,-1
146,-1
1,124.666666667
116,131.2
225,-1
200,114.0
188,111.666666667
153,73.5
138,132.5
92,121.75
187,125.5
208,122.6
47,73.5
121,105.285714286
53,130.333333333
144,124.5
108,102.571428571
134,107.666666667
105,131.2
164,132.0
179,92.5
26,117.0
66,-1
118,109.5
117,118.0
86,38.0
85,-1
223,42.3333333333
145,117.0
206,109.5
137,-1
230,132.0
2,131.0
240,132.0
241,102.428571429
95,102.0
125,115.5
74,106.666666667
4,135.0
224,122.0
38,77.0
151,73.5
236,130.333333333
218,102.5
87,132.0
226,111.666666667
215,109.5
113,131.2
205,-1
161,123.5
148,107.0
195,142.0
111,102.9
201,142.0
51,132.0
141,129.5
122,105.0
132,131.0
235,50.6666666667
170,117.0
37,101.428571429
69,38.0
198,135.693333333
96,34.0
227,122.6
173,135.693333333
204,73.5
32,104.8
33,105.5
150,87.75
50,131.0
101,102.5
77,101.25
68,-1
131,117.0
104,131.0
54,107.666666667
99,122.333333333
123,125.5
119,120.333333333
130,84.2
174,139.5
219,122.333333333
210,73.5
29,103.875
109,108.8
207,110.5
180,105.0
40,119.5
234,117.0
127,117.0
70,56.0
129,72.125
169,122.4
52,110.5
57,73.5
222,122.0
36,56.0
228,123.0
220,106.666666667
156,123.0
115,118.4
46,111.0
42,127.0
61,73.5
176,108.8
221,132.0
160,111.0
10,133.3
133,132.0
81,142.0
35,-1
76,127.0
182,135.666666667
166,102.5
172,99.0
112,73.5
64,113.5
44,73.5
27,127.0
0,73.5
43,140.0
3,122.4
184,127.0
175,138.0
193,117.0
73,135.4
90,135.75
214,109.5
192,123.0
199,122.0
191,110.5
6,119.5
58,125.5
177,117.0
149,137.98
34,96.5
97,122.333333333
21,127.0
60,73.5
94,96.5
158,25.0
102,123.0
165,117.0
9,56.0
79,140.0
83,117.666666667
8,137.98
186,119.5
17,100.142857143
62,34.0
30,132.0
159,119.666666667
239,127.0
59,56.0
78,105.285714286
152,92.5
49,122.4
183,130.0
168,142.0
107,-1
232,77.0
11,115.5
142,123.0
103,107.0
41,121.25
114,38.0
229,122.0
157,-1
135,73.5
100,38.0
12,123.0
14,-1
233,77.0
71,92.5
20,133.5
217,109.5
178,131.2
110,120.333333333
65,122.0
171,132.4
75,38.0
197,110.857142857
163,111.666666667
167,73.5
18,122.0
136,124.0
209,122.6
48,108.75
56,120.5
84,98.5
213,-1
124,107.666666667
45,99.0
15,-1
212,120.5
155,73.5
202,140.333333333
67,137.333333333
19,137.98
63,84.2
162,118.25
185,127.0
16,137.98
126,140.0
93,102.75
39,-1
91,138.0
