0,24.6547,-81.2817,1950-10-12,1950-10-20
1,27.5094,-82.7211,1950-08-31,1950-09-10
2,29.7208,-84.9811,1950-08-19,1950-09-02
3,25.85,-80.1197,1950-10-12,1950-10-20
4,30.0225,-84.3858,1953-09-22,1953-09-29
5,34.9772,-76.7713,1953-08-10,1953-08-17
6,33.874,-78.48,1954-12-09,1954-12-11
7,41.7855,-71.3829,1954-08-29,1954-09-01
8,30.3931,-88.9303,1955-07-30,1955-08-04
9,27.7997,-97.3911,1955-09-03,1955-09-07
10,29.8551,-89.6786,1955-08-22,1955-08-31
11,35.0722,-77.011,1955-09-09,1955-09-25
12,33.918,-78.1491,1955-08-06,1955-08-22
13,34.005,-77.897,1955-12-09,1955-12-11
14,29.3683,-89.5297,1956-09-20,1956-10-01
15,30.2386,-85.9244,1956-09-20,1956-10-01
16,30.3922,-88.8836,1956-06-11,1956-06-16
17,36.9547,-76.3269,1956-09-20,1956-10-01
18,29.7697,-93.4525,1957-06-24,1957-06-30
19,30.3931,-88.9303,1957-09-15,1957-09-20
20,29.7451,-92.1075,1957-08-07,1957-08-12
21,30.1033,-84.0442,1957-09-06,1957-09-10
22,,,1957-06-07,1957-06-16
23,,,1958-08-29,1958-09-07
24,,,1958-06-13,1958-06-17
25,,,1958-08-29,1958-09-07
26,35.2586,-75.5965,1958-09-26,1958-09-29
27,29.1397,-83.0419,1959-10-05,1959-10-10
28,,,1959-10-16,1959-10-22
29,29.6731,-94.9878,1959-07-22,1959-07-29
30,29.3667,-91.3833,1959-05-27,1959-06-03
31,,,1959-06-14,1959-06-19
32,32.5133,-80.2829,1959-09-19,1959-10-03
33,33.0102,-79.4841,1959-07-04,1959-07-13
34,24.9133,-80.6353,1960-08-28,1960-09-15
35,29.3825,-89.5189,1960-09-13,1960-09-18
36,27.7842,-97.3929,1960-06-21,1960-06-30
37,40.5869,-73.8254,1960-09-08,1960-09-14
38,28.6122,-96.6203,1961-09-02,1961-09-17
39,35.9111,-75.5929,1962-08-25,1962-09-03
40,29.7622,-93.3442,1963-09-15,1963-09-21
41,34.2271,-77.951,1963-10-15,1963-10-31
42,29.0186,-82.7264,1964-08-27,1964-09-17
43,29.2357,-90.6712,1964-09-27,1964-10-06
44,24.5453,-81.8108,1964-10-07,1964-10-18
45,28.8044,-95.5483,1964-08-04,1964-08-09
46,27.941,-82.4573,1964-08-19,1964-09-06
47,24.555,-81.8067,1964-10-07,1964-10-17
48,31.1448,-81.4988,1964-08-27,1964-09-17
49,26.1007,-80.1189,1964-08-19,1964-09-06
50,29.7208,-84.9811,1965-06-10,1965-06-19
51,29.545,-89.7565,1965-08-26,1965-09-14
52,25.2646,-80.3018,1965-08-26,1965-09-14
53,30.0157,-90.0292,1965-09-23,1965-10-01
54,25.0096,-80.5148,1965-08-26,1965-09-11
55,,,1965-08-18,1965-09-01
56,28.9078,-82.6911,1966-06-03,1966-06-15
57,24.6719,-81.3397,1966-09-20,1966-10-12
58,26.4501,-81.9497,1966-06-03,1966-06-15
59,27.7858,-97.3942,1966-09-20,1966-10-12
60,24.6483,-81.33,1966-09-20,1966-10-12
61,24.555,-81.8067,1966-06-03,1966-06-15
62,26.4,-97.2217,1967-09-04,1967-09-23
63,28.6983,-96.2151,1968-06-21,1968-06-27
64,28.3801,-82.7056,1968-10-12,1968-10-22
65,25.8456,-81.3878,1968-05-31,1968-06-14
66,52.3361,-65.9486,1968-10-12,1968-10-22
67,30.3158,-89.2475,1969-08-13,1969-08-23
68,29.914,-84.524,1970-07-18,1970-07-24
69,26.1119,-97.1683,1970-09-07,1970-09-14
70,27.8604,-97.2417,1970-07-30,1970-08-06
71,29.3091,-94.7937,1970-09-11,1970-09-18
72,,,1970-09-12,1970-09-14
73,29.7161,-91.8772,1971-09-04,1971-09-19
74,28.9439,-95.3094,1971-09-02,1971-09-14
75,26.1119,-97.1683,1971-09-04,1971-09-19
76,29.1363,-83.0373,1972-06-13,1972-06-24
77,38.0908,-75.1993,1972-06-03,1972-06-23
78,29.7335,-94.9781,1973-08-31,1973-09-08
79,29.2453,-90.6633,1974-08-28,1974-09-11
80,,,1974-11-10,1974-11-13
81,30.3494,-86.2431,1975-09-12,1975-09-25
82,27.4772,-97.2738,1975-08-23,1975-09-02
83,34.6974,-76.7387,1976-08-16,1976-08-22
84,39.3756,-74.4019,1976-08-08,1976-08-10
85,29.1627,-90.6537,1977-09-02,1977-09-10
86,26.0728,-97.1669,1977-08-28,1977-09-04
87,29.7452,-91.6683,1978-08-25,1978-08-30
88,,,1978-09-23,1978-09-25
89,,,1978-11-06,1978-11-08
90,30.2654,-87.598,1979-08-28,1979-09-16
91,30.3614,-89.0928,1979-07-08,1979-07-17
92,29.7286,-93.8708,1979-07-14,1979-07-30
93,29.381,-94.8892,1979-08-29,1979-09-03
94,24.9235,-80.6261,1979-08-24,1979-09-09
95,30.0982,-81.0798,1979-08-24,1979-09-08
96,26.4653,-97.2442,1980-11-06,1980-11-17
97,29.6804,-93.8394,1980-09-03,1980-09-08
98,26.5553,-97.4233,1980-07-30,1980-08-12
99,29.7608,-93.5625,1982-09-08,1982-09-13
100,26.0768,-97.157,1983-08-22,1983-08-30
101,29.0898,-95.1213,1983-08-14,1983-08-22
102,34.034,-77.8913,1984-09-07,1984-09-17
103,29.6689,-85.3275,1985-11-14,1985-11-24
104,29.7191,-85.0717,1985-08-27,1985-09-05
105,30.0038,-89.8576,1985-10-25,1985-11-02
106,,,1985-08-27,1985-09-05
107,29.5875,-92.1469,1985-08-11,1985-08-21
