14,29.3683,-89.5297,1956-09-20,1956-10-01
37,40.5869,-73.8254,1960-09-08,1960-09-14
84,39.3756,-74.4019,1976-08-08,1976-08-10
176,32.7817,-79.925,2002-09-19,2002-10-13
181,36.0467,-75.6767,2003-09-24,2003-09-26
